"A[0,1]",b[0],x
-2.47363607467051,-1.2341080834364198,"[-0.7217789884885757, 0.34054125606804597]"
-2.7271128193199647,-0.9038649924300737,"[-0.6592798232224091, 0.2002309446424973]"
-2.3519712025929813,-0.7671596043604466,"[-0.6744122968101417, 0.17055230164683574]"
-2.056599407672105,-0.789092905682077,"[-0.7096939177410583, 0.19640135937508468]"
-3.6480852629032463,-0.9860303765961206,"[-0.6143078467066027, 0.17889535693535347]"
-2.8925845538117785,-0.9377041802134395,"[-0.6506904725633652, 0.2020868441422588]"
-3.7657885247884537,-0.8361075557228248,"[-0.6013241529234328, 0.13536324829892596]"
-3.492413970650425,-1.165913522660459,"[-0.6326054778321769, 0.23553277144209545]"
-3.5406068374332387,-1.337981665247823,"[-0.6409438282276092, 0.27964714396935764]"
-3.3171870142102207,-0.8412889815990567,"[-0.6191855330709869, 0.15230882037724833]"
-2.8941750118443714,-1.1396810562321376,"[-0.6692289424146981, 0.2682867227437749]"
-2.4449583379184303,-1.3808377281355984,"[-0.7440470097699359, 0.39960566429824784]"
-3.6839711804141393,-1.0853523223216242,"[-0.6186265239215801, 0.20347704628220267]"
-2.570542373914379,-1.4647001890561677,"[-0.7367606316133687, 0.4142457354895539]"
-3.1770683386611958,-0.9064063750687615,"[-0.6309023157304783, 0.17752062445653072]"
-2.348327810631636,-0.9604663475510383,"[-0.7011678430144126, 0.2469500794787]"
-3.6290487877264486,-1.009513685738347,"[-0.6164961673559, 0.18597742578140206]"
-2.897124169284848,-1.2428690265467894,"[-0.6785004337767375, 0.30189412261232795]"
-2.7716704611342524,-1.0619040533886464,"[-0.6718014034784908, 0.25157953572222713]"
-2.3466526058105126,-1.0652682584650903,"[-0.7157000817888529, 0.2884255342160272]"
-3.115476474668647,-1.0960497409352392,"[-0.6494683044396262, 0.2386672347081378]"
-3.7429040473683632,-0.7894128063408571,"[-0.5994687020320102, 0.12398437823930362]"
-3.2017990891443735,-1.341217766259078,"[-0.6627015157395734, 0.30656142330153596]"
-2.708071878570006,-1.0566510722598081,"[-0.6767320879446957, 0.2545599137100526]"
-2.7699362900330184,-1.232039067021588,"[-0.6890161580243939, 0.3097860326101787]"
-3.3011578258222136,-1.4595176535413315,"[-0.6643016592272181, 0.33290729532076674]"
-2.2499880696928343,-1.1875189029725326,"[-0.7464279805538625, 0.3477387972924465]"
-2.3981724612418613,-0.9915156832472929,"[-0.699748443016223, 0.25508567029030105]"
-3.5897474868767385,-1.3102479273324565,"[-0.6365449926259248, 0.2687582474418271]"
-3.6130250602213985,-1.3842824884259994,"[-0.6397826431288057, 0.28703139580878073]"
-3.009331091726859,-1.3775119636696456,"[-0.6807916248724901, 0.3349661973395661]"
-2.830264408862659,-1.2398899163162962,"[-0.6841539355894181, 0.30688910435560524]"
-3.5787389876256066,-1.0654045345401348,"[-0.6220883802477362, 0.20336127530257692]"
-3.1471191607011506,-1.0493467880907414,"[-0.6437605550210209, 0.22241197354752687]"
-2.8627857317957965,-0.905986870550193,"[-0.6497569124892066, 0.1932881813467686]"
-2.100082783195644,-0.9218073700403921,"[-0.7265813906504525, 0.2511653382373109]"
-2.0103306298879455,-1.4507889722484764,"[-0.8358493927693174, 0.4960110986957797]"
-2.9595380871938253,-1.3508394474567866,"[-0.6828030469794066, 0.3312206104462163]"
-2.5209585421620524,-1.315944295461069,"[-0.7257579927933466, 0.36575445307925786]"
-2.9573890749405543,-1.179364370636754,"[-0.6677990673614794, 0.2762328737973043]"
-3.2900835217849322,-1.3060892597374945,"[-0.6540129043647461, 0.28909149729550204]"
-2.1776353048999955,-0.9748609263464826,"[-0.7244725851638574, 0.26710904022155757]"
-2.2855754103892028,-1.0294166889737504,"[-0.718394475978387, 0.2798072746297798]"
-2.5301212325808353,-0.9398922777775155,"[-0.6798586293507558, 0.22564565923311672]"
-2.255440855758228,-1.501796062384818,"[-0.7918765408781411, 0.4753034819865321]"
-2.0776847401013954,-1.1069999415722362,"[-0.7614422014066202, 0.33390074259074204]"
-2.150569318279734,-1.3540409637167419,"[-0.7891371520783983, 0.43046766313324053]"
-3.5352560930344863,-1.0079110634634443,"[-0.620477955482185, 0.18984692074611004]"
-3.049782645540728,-0.8880393778264292,"[-0.6364712451144314, 0.17791619342529497]"
-3.140439859378412,-1.4432340365002012,"[-0.6752902257415575, 0.3428602685367208]"
-3.4890607791972457,-1.360159020717317,"[-0.6453145180899342, 0.289454926054213]"
-2.103839119558525,-1.5066957366239597,"[-0.8238699047960251, 0.5036291591635362]"
-2.9494848778775444,-1.3047408272323582,"[-0.6795871381469167, 0.3173119404886741]"
-3.3824081573509477,-1.1986448570382238,"[-0.6407754828001967, 0.25155898068644517]"
-3.7314105218571156,-0.8507166291875103,"[-0.6033205910674874, 0.14023514851555996]"
-2.2800131733939457,-0.9415590406010774,"[-0.706429131513002, 0.2448042697916575]"
-2.211981983311274,-1.4765020329954828,"[-0.7964283363484944, 0.4720899460835884]"
-2.3736341524648874,-1.0181710428545085,"[-0.7060733821575979, 0.2675062786634352]"
-3.4084332723464286,-1.3772131419841311,"[-0.6513528337231604, 0.30034408154602876]"
-3.078827859282654,-1.150891799258394,"[-0.6563862286300164, 0.25810135124654726]"
-3.7615521154571883,-1.1888638443868285,"[-0.6211485482412527, 0.2264348028863454]"
-2.175221103335752,-1.3126272740386844,"[-0.7779533976607871, 0.40934075401916115]"
-2.9589835767862818,-1.0885508916009603,"[-0.6596357565199638, 0.24689055534709503]"
-2.8848102584251083,-1.0329970711249654,"[-0.660073943152077, 0.2338987314472005]"
-2.996082153153913,-1.4547669220996848,"[-0.6886149308795624, 0.36081560275070235]"
-3.6897583751305256,-0.8054870588132604,"[-0.6021689854349983, 0.1297294574246448]"
-1.9032458060006519,-1.3969808201242693,"[-0.8525526190999687, 0.4908839231119286]"
-3.5860945666060338,-1.3684261582818216,"[-0.640300149987468, 0.2846869788867339]"
-2.4953121300293577,-0.898253992507576,"[-0.6780769665497871, 0.2124942800539718]"
-2.8419421622812795,-0.9754732010025852,"[-0.6578240420914256, 0.2176155069332062]"
-3.070249956159393,-0.9283860800434538,"[-0.6386302723420864, 0.18948966865602018]"
-2.7460155257196446,-0.8291209113994019,"[-0.6502352050770273, 0.17342112569621018]"
-2.593571142715115,-1.0210381248717921,"[-0.683319246111992, 0.25068852768870603]"
-3.7617178597781993,-0.9287922096501442,"[-0.6066320402151668, 0.15938283531861477]"
-1.9735405074945662,-1.0280269930380461,"[-0.7655357561347176, 0.31037914922129883]"
-3.6616781477787423,-1.3596492967545664,"[-0.6357144287511929, 0.27708723540828273]"
-2.351714724152434,-1.1829604089923802,"[-0.7311137485716577, 0.33429275043800516]"
-3.2835573830595544,-1.1556375523435989,"[-0.6435308453233799, 0.24557890258752973]"
-1.930467900812753,-1.1489807301703825,"[-0.7970650422605813, 0.3710953136916393]"
-3.550476963234381,-0.9874375896849833,"[-0.6185212410591827, 0.18356575436368366]"
-2.1237111164091727,-1.2508629675029432,"[-0.7774059621155175, 0.390325899185717]"
-3.5103751393258937,-1.4964083023726922,"[-0.65275896090225, 0.3253597478221638]"
-1.9991008506866215,-1.039477865993863,"[-0.7631238339064198, 0.3127934866813512]"
-3.2404333145032247,-1.22717470227239,"[-0.6514740963090319, 0.26959311395809027]"
-3.3627431143876,-0.8116137959254595,"[-0.6150947947214014, 0.1420809785175471]"
-2.2741587389235542,-1.23610324836915,"[-0.7498418561838975, 0.3645918181026533]"
-1.9057827812122217,-1.0938806812436492,"[-0.7913151839139911, 0.34862744277969354]"
-2.9455934859189905,-1.4584814763190694,"[-0.6936492988042722, 0.3673335889885224]"
-1.8985598384433373,-1.457039969974804,"[-0.8658740103250039, 0.5199214401189841]"
-3.7791435321477422,-1.184707656984183,"[-0.6201514954969093, 0.2244241982779216]"
-2.81765641580306,-1.1893643470508497,"[-0.6804025113586665, 0.2910531446214074]"
-2.20400096070052,-0.8202223984628968,"[-0.6971738652027107, 0.20047334824187169]"
-2.3814719466216947,-1.2378563316373261,"[-0.7344203798476002, 0.35241334285618325]"
-3.1606876247645252,-0.8830305922085662,"[-0.6299546840423655, 0.1712075811933282]"
-2.2067365178632024,-0.9707062391169022,"[-0.719930420566663, 0.26282094163639125]"
-1.965986570744632,-1.2442222701796992,"[-0.8077598063231949, 0.4098831328773905]"
-2.171489143727801,-1.2242290893908152,"[-0.7646770741370397, 0.37265392602571495]"
-2.4069298423174277,-1.3914703944085998,"[-0.7510020166836369, 0.40876852378364087]"
-3.2462231018758945,-1.2780728273712898,"[-0.6548729225732279, 0.2842232189064143]"
-3.6506678950940845,-1.3739961812067751,"[-0.6371405690821752, 0.28164688983702135]"
-2.0937080813578723,-1.5155957267582796,"[-0.8276558681977009, 0.5093355472584384]"
-3.344005306420542,-1.2975229652226983,"[-0.6499321927217582, 0.2825305361293276]"
-3.714445481098861,-0.9095411260884803,"[-0.6072771062039163, 0.15613422762847146]"
-3.5511167787363425,-0.8569309611981857,"[-0.6103532971535107, 0.14803015364707986]"
-3.0568619466943576,-1.2031612248648822,"[-0.6622790707452473, 0.2760088070253371]"
-3.300791302441471,-1.4912520145031114,"[-0.666606755347185, 0.3421794139670193]"
-3.766777093327802,-0.9216885792787803,"[-0.606053001392986, 0.15736633103000275]"
-1.9288253028752405,-1.4274631719949338,"[-0.851879655495493, 0.5003669111976963]"
-3.2760640222376867,-0.8213803601744314,"[-0.6196283561356558, 0.14807033133578631]"
-3.343143526988569,-1.2501911484694044,"[-0.6466699151527251, 0.26897509252442436]"
-3.395234641076567,-1.1786278680953466,"[-0.6386823874763043, 0.2450476147564223]"
-2.5147425823095673,-1.2800043290673442,"[-0.7222286266109244, 0.3531285287656515]"
-2.523556811441372,-1.2497754598863557,"[-0.7175171055127387, 0.3409297429194314]"
-2.2296451595100457,-0.7975894489096809,"[-0.6909141847286735, 0.18954039977247855]"
-3.2534851602105843,-0.8616350798428529,"[-0.623644040153466, 0.1608008448665093]"
-2.413914956724723,-0.9964700326342978,"[-0.6986594852166136, 0.255719361717144]"
-3.547276661960878,-1.0394811581795835,"[-0.621914125928164, 0.19788366922150805]"
-3.2524279842842923,-0.9085778870497464,"[-0.6271630211719772, 0.1746990577348937]"
-2.9331413613124866,-0.9044106799537399,"[-0.6449744279306583, 0.1889994374083516]"
-2.258748158351535,-1.358539999656856,"[-0.7702153763245118, 0.41638951413869224]"
-1.9303805558490672,-1.3262567915622294,"[-0.831707445349352, 0.45320705840495545]"
-2.510024045018341,-0.7871519280052278,"[-0.6633086303741238, 0.17017874696536045]"
-2.028473679129324,-1.2695429821591366,"[-0.7991464589438984, 0.4120438925606469]"
-3.4177931267364245,-1.443547686673194,"[-0.6552191987430881, 0.3183161949563254]"
-2.9648058446157473,-1.0268630533641645,"[-0.6537706821040362, 0.22667265995971939]"
-3.535520908990004,-0.7791410966760329,"[-0.6060753323700356, 0.12733747019501918]"
-2.911981706425141,-0.8531263390267816,"[-0.6416608518967976, 0.1733788748489928]"
-3.118103861542992,-0.9136010301748734,"[-0.6346847313597394, 0.1825266237978857]"
-2.6054718988956327,-0.9939212227747841,"[-0.6791439406045634, 0.24000554508891353]"
-2.6350643851205713,-1.3612499986122382,"[-0.7169605123103087, 0.3689216098228042]"
-2.2178670656187274,-0.9860189817131577,"[-0.7207988309045066, 0.2681937104492886]"
-2.690968679603821,-1.0591544516848534,"[-0.6785173401004304, 0.2567480676922876]"
-3.6544446867520928,-1.0620479578917255,"[-0.6185336887242602, 0.19875785704221433]"
-3.191957919131891,-1.347525623609031,"[-0.6638964031081745, 0.30927959076883954]"
-2.6807521114555004,-1.3083451231553658,"[-0.7060321677580457, 0.3451115393254414]"
-3.4369923028132647,-0.8523040969213439,"[-0.614700350770189, 0.15091282290301225]"
-2.368756324721687,-0.8052155857433204,"[-0.6780000589544375, 0.18458753376993883]"
-2.4030209268472205,-1.1007619138702334,"[-0.7135190870893202, 0.29692287557258157]"
-2.9505215378438745,-1.4119759200627207,"[-0.689041488405786, 0.35180583024992956]"
-2.7320864507179508,-0.8055810888082545,"[-0.6487831753819345, 0.16597767056794085]"
-2.806780006460295,-1.4190042677462062,"[-0.7038445128613741, 0.36946427630665735]"
-3.6078699497965157,-1.303528997782862,"[-0.6351805989488568, 0.26575121275877084]"
-2.3835946366512113,-0.7759362106448877,"[-0.6727151031796176, 0.17235809486870923]"
-3.6649577121754553,-1.4722748426399237,"[-0.642153616766468, 0.3066221397443048]"
-2.799404646323934,-1.3501310593366245,"[-0.697847954539295, 0.34699744606828165]"
-3.4555650224838073,-0.9951758515754733,"[-0.6233146237979698, 0.19009415679885416]"
-3.6881609027519175,-0.7627285458927479,"[-0.5997453100923558, 0.1185488534590914]"
-2.7822682064422275,-1.248379098682187,"[-0.6894691855833391, 0.31419750644761457]"
-3.456777907648464,-0.8210607466915539,"[-0.6118183861169098, 0.14146323816186165]"
-2.9251956626408795,-1.4218506139040208,"[-0.6922972380698861, 0.35762338403269117]"
-2.612347411966498,-1.3483578026468102,"[-0.71822702132904, 0.36693152638343945]"
-3.532924875019213,-0.7835162869745645,"[-0.60644704857464, 0.12861234027903304]"
-2.804471266151117,-1.0427977821620866,"[-0.667217721966469, 0.24271135094421695]"
-2.2206608780422226,-1.0993798929997542,"[-0.7376058719130465, 0.3147969091878612]"
-2.202662821569113,-0.8454683520137235,"[-0.7012074929144411, 0.21106281909625957]"
-3.6799586290026,-1.042489753449219,"[-0.616303998279513, 0.19239387914488512]"
-3.1081168565749553,-1.0841736757779936,"[-0.64899125071578, 0.23549468575556387]"
-2.8129542496221354,-1.0472748551993523,"[-0.6669757494146651, 0.24361768741890902]"
-2.895604301370435,-1.0673226322490268,"[-0.6624402495689745, 0.24443766339132492]"
-2.764722658704162,-0.9080634147669223,"[-0.6568959588677766, 0.19949364444624695]"
-2.958235886180468,-0.9447803443243151,"[-0.6469587093576721, 0.20067865450775574]"
-3.6475311249820934,-0.8382324954220088,"[-0.6055774865295971, 0.13970158632454757]"
-2.0763612467058556,-1.0961675085247053,"[-0.759813700209363, 0.3293222151113228]"
-2.775332930276493,-1.285869489901241,"[-0.6938822893207571, 0.32762807625997215]"
-3.2013821289337234,-0.7903592648186636,"[-0.6207835287233678, 0.14163877414496656]"
-3.7188959684946674,-1.3947401274323863,"[-0.6347881898397469, 0.282394573840705]"
-2.2027166316447175,-0.9509618276390756,"[-0.7174243964034345, 0.25495438264520937]"
-3.548591611354149,-1.1914696297598064,"[-0.6313471252203323, 0.2391982765314016]"
-2.9035535463724065,-1.3653333293635672,"[-0.6891835611369824, 0.3414061305448911]"
-3.690408387653894,-0.900980929090656,"[-0.60767556245589, 0.15477301265174204]"
-2.145984144410467,-1.3850931756197529,"[-0.7950279648522985, 0.44436750731394226]"
-2.144110840458637,-0.8295114389162701,"[-0.705638929408204, 0.20826265989029522]"
-3.4554108527696585,-0.8117214147874984,"[-0.6112596986523481, 0.13890414275584226]"
-3.736178570744578,-1.4977755183644494,"[-0.6397340171896683, 0.30795397627659504]"
-2.6890154974715537,-1.414813099678159,"[-0.7164295902587963, 0.38154612558255396]"
-2.156598319601585,-1.1992113589006437,"[-0.763233914906181, 0.3639896528619608]"
-1.997315579841788,-1.1015782291712728,"[-0.7748474665138817, 0.340979311651682]"
-3.2737171137270216,-1.1298267668077868,"[-0.6422384902802412, 0.23864708194855055]"
-3.053784720872947,-1.5036220630241832,"[-0.6875488703577327, 0.37018552975144514]"
-2.291690241305582,-1.4889583765287573,"[-0.7833188974287721, 0.46421008331655145]"
-3.4090756850723625,-1.2212020550733749,"[-0.6407841298499868, 0.25620658912202443]"
-2.5638092275082704,-0.8578975414300289,"[-0.667246354735097, 0.19336900098277787]"
-1.9893452516572974,-0.8439180999933681,"[-0.7286608211938016, 0.22542600763411894]"
-2.697716433020512,-0.8125811194077581,"[-0.6519100738161654, 0.17005801657987998]"
-3.539605403754434,-0.8723854797879292,"[-0.6117769103154748, 0.15265945724929478]"
-3.0952537214084286,-1.1664635714713671,"[-0.6565133970981132, 0.2617402182187982]"
-2.177412921799645,-0.9428960122169299,"[-0.7194820928451915, 0.2537000029635423]"
-2.7312598485325994,-1.278875331893322,"[-0.6976030330223167, 0.329614724393114]"
-2.4667235205831743,-1.2097473211924332,"[-0.7196133711339481, 0.3320962879951865]"
-3.3447937722703927,-0.7958273452487181,"[-0.6147623948526811, 0.13817766273133988]"
-2.4030396291537106,-1.5007673645184638,"[-0.7659011553606713, 0.45154805941530146]"
-3.572275364412458,-0.8913530658239285,"[-0.6116508952124486, 0.15659213283002532]"
-3.6105286097010527,-1.489588664187874,"[-0.6462802324361295, 0.315419560903049]"
-2.3553762001925915,-0.7893649243093356,"[-0.6771179304240476, 0.17910981119884764]"
-3.4455740138375606,-1.2540143330962756,"[-0.6408974188279762, 0.26299781751974494]"
-3.7684481241615115,-0.825382071688241,"[-0.6006384880848229, 0.13252033707500427]"
-3.7753983855925823,-1.4439887480535365,"[-0.6346773011118694, 0.29123515155825236]"
-3.495232291113627,-0.7848817272712796,"[-0.6079544903478956, 0.1301558812024703]"
-2.076873669497002,-1.2693524295191683,"[-0.7893759706734419, 0.4049030099114052]"
-3.0046164330128775,-1.448443134440799,"[-0.6872958035558342, 0.3579243333143253]"
-1.949846361490968,-1.2904594336781767,"[-0.8201811314161374, 0.43353181959565557]"
-2.849948303976511,-1.5071909812543802,"[-0.7077830796460365, 0.3940612071498951]"
-2.662369805983417,-0.773575687751848,"[-0.6502414093122696, 0.15800528984171697]"
-2.0129410126842084,-1.4571351345996508,"[-0.8363718025409465, 0.4983797000145102]"
-3.751058960015587,-1.0823464961777,"[-0.615635088714675, 0.199469351307967]"
-3.764513130709904,-1.399966266693513,"[-0.6327778085839321, 0.28065098787104986]"
-2.1413096163655614,-1.074028273476301,"[-0.7455767642523019, 0.31260285455177217]"
-3.7281337471519147,-0.8155155629686835,"[-0.6014363986515259, 0.1311906943430793]"
-3.75712070273022,-1.1900941847249593,"[-0.6214120188950667, 0.22699128548907793]"
-1.9115537556183229,-0.8459558322783378,"[-0.7408529884073548, 0.23220419667526404]"
-2.438484940000454,-1.3177078116559826,"[-0.7369343938176494, 0.3763605497021969]"
-3.4792641739661674,-1.3015530942796012,"[-0.6420907135481383, 0.27392848585049007]"
-3.5668617099104027,-1.4677600012855536,"[-0.6475127982887288, 0.31297365106543906]"
-2.3361329490653295,-1.3015952038401406,"[-0.7496299723734555, 0.38300329669156113]"
-3.109978754292485,-0.7687906760082388,"[-0.623484273502816, 0.13839498713640488]"
-3.1224426525954847,-1.2497002139141837,"[-0.6612901320073962, 0.2852883580414364]"
-3.6331669181280777,-1.5069942850402815,"[-0.6460108681745947, 0.3182851733380353]"
-3.0894557489504915,-1.3998745014626992,"[-0.6759453416441084, 0.3343685910065553]"
-2.9415805423892687,-0.8186931939966051,"[-0.6367630921436801, 0.16083229194094428]"
-2.0409727657759222,-1.3116789557227397,"[-0.8040252940132578, 0.4288681732656728]"
-1.9313508831653576,-1.2352425697600729,"[-0.8137124701226949, 0.41091152154841604]"
-3.1754094309919565,-1.2316579531076257,"[-0.6561483619216208, 0.275726611519501]"
-3.304803163621844,-1.2700569450684402,"[-0.6504673473869667, 0.27748313609961894]"
-3.196290422977351,-1.195057832364626,"[-0.651935152250339, 0.2631899159752749]"
-3.665549884352333,-1.1590863422130722,"[-0.6237488723816351, 0.22385659859496765]"
-1.9418111028257126,-0.8320200924951191,"[-0.7334426248419134, 0.22348049678493107]"
-3.7439722207712993,-1.3278192965832811,"[-0.6297477984147756, 0.2633659153842568]"
-2.33982425981072,-1.5081109909944022,"[-0.7774866481477835, 0.46419882999250306]"
-3.671288288658321,-1.0945899616588348,"[-0.6197144993907481, 0.20653532885728892]"
-2.4461704992841504,-0.8145743063270247,"[-0.6721294894879933, 0.183874246670421]"
-3.7050903220816527,-0.7620147422065859,"[-0.59914744275383, 0.11790209867240235]"
-3.3802185317017535,-1.3053423819192174,"[-0.6482202762186102, 0.2820918625813447]"
-2.0119212698495943,-1.470615893170562,"[-0.8390620978117508, 0.5046070147315627]"
-1.976551660160735,-0.9696978346198536,"[-0.7540775838627596, 0.2835419885681259]"
-2.4754444031090017,-1.155030213016107,"[-0.7117524000186224, 0.3105458641738875]"
-3.127304174572349,-1.107820408987991,"[-0.6496400660351789, 0.2414986072010495]"
-2.182187367323998,-0.9882684560897433,"[-0.7259513960326924, 0.2723281309843944]"
-2.2759355299533452,-1.1545079954911865,"[-0.7377522652269889, 0.331338836675387]"
-2.645868815908605,-1.105821870935805,"[-0.6877509490246652, 0.2768682421002393]"
-2.6819009561516443,-1.0498033716222706,"[-0.6783370952250305, 0.2541658937262474]"
-2.1532180572731776,-0.8942855638982274,"[-0.7149249028815153, 0.23512367918053306]"
-3.2273357214345806,-1.0592070382532084,"[-0.6397343385018305, 0.22061615334454632]"
-2.1557803895246344,-1.050328475005305,"[-0.7395566741416418, 0.30102648769756973]"
-3.28977420004807,-0.914134619521063,"[-0.6257061316442015, 0.1746452805205758]"
-2.101971080021102,-1.2053115096026628,"[-0.7738055183330858, 0.3736217299455275]"
-2.069000810271139,-1.0457992410283394,"[-0.752386699535392, 0.30809774913404353]"
-2.702691775571258,-1.0956075767426825,"[-0.6813018632091604, 0.2685629523187976]"
-3.582264037832024,-0.9695618377530185,"[-0.6160504133514223, 0.17732116394747208]"
-2.959941697369728,-0.8657776246191735,"[-0.6398592793574407, 0.17517411574053682]"
-3.55367875627741,-1.3399477236624422,"[-0.640337674642003, 0.27926430489714144]"
-3.7255395586977924,-1.4433978313890936,"[-0.6372159084328922, 0.29460431227489653]"
-3.7529211588550844,-1.3801554107632106,"[-0.6322476083416257, 0.2763161871666441]"
-2.174011959479348,-0.9608226423837387,"[-0.7227558392233735, 0.2615254822754642]"
-3.3260118198087305,-1.356723882440509,"[-0.6552612901454612, 0.3009887844313891]"
-3.1411389551227047,-1.2881801586741186,"[-0.6629889101794408, 0.2955470971702855]"
-2.4685220900724256,-0.9704670783841303,"[-0.6895833981126839, 0.24152416053823586]"
-3.648578023861512,-1.1092310466904114,"[-0.6215799521629652, 0.2115562205578027]"
-3.281126289705024,-0.9791134792448979,"[-0.6308540237256305, 0.19405789749758381]"
-3.5851237666213915,-0.9514004610583303,"[-0.6148177812998673, 0.17230056248409614]"
-2.5710492302083088,-1.3841797513981147,"[-0.7273973556134059, 0.38482247698336963]"
-2.9847857555762203,-1.0053354605326574,"[-0.6505214582442321, 0.21853370633111682]"
-2.870664544931808,-1.331572892138009,"[-0.6891280733671167, 0.3335675917203026]"
-3.1680878586501895,-1.0978764346515308,"[-0.6462571735014002, 0.23583046535374347]"
-1.8994419296331266,-0.7737496874281578,"[-0.7282712819010193, 0.19926545532498172]"
-2.7543654638743695,-0.8607077988180218,"[-0.6528609894738657, 0.1838459343940289]"
-2.146117270168217,-0.9386468083477782,"[-0.722997735628801, 0.25453054904333555]"
-2.7433009894141303,-1.05108964983612,"[-0.673103812219198, 0.24998143013467422]"
-1.9989498488088944,-1.5094170397297573,"[-0.8493622255942027, 0.5244956588557415]"
-3.468114710924364,-1.4813578242202528,"[-0.6544695227351265, 0.3247170316529288]"
-2.1650629732237463,-0.9405842348139113,"[-0.7207565869696515, 0.25375990660075554]"
-3.621186659701433,-0.9660222669332202,"[-0.6142165902195446, 0.17471259917580334]"
-2.1937894128098256,-0.9792446080547245,"[-0.7229693107070435, 0.2675122919721876]"
-3.3801454543798095,-1.3113803042544283,"[-0.6486389807983551, 0.2838170227347313]"
-2.9640949365909264,-1.456019421035995,"[-0.6916816488962876, 0.36457040086772124]"
-3.3398584180082653,-0.9536456137794126,"[-0.6260525779623602, 0.18380015789693335]"
-2.1165385343131438,-1.4675560503940412,"[-0.814568891918694, 0.4845000392075664]"
-1.9373518472686593,-1.358450323954195,"[-0.8362737995062619, 0.4669143181350337]"
-2.6281273221211414,-1.5074647336166915,"[-0.7339797089137421, 0.42201534483186715]"
-3.710053772607655,-1.176888203263009,"[-0.6227598505151305, 0.2261142872629241]"
-3.4420100278007557,-1.3554314001504,"[-0.6478184976904068, 0.2916433159532988]"
-2.2049108091934544,-1.0750236172052203,"[-0.7361840485950534, 0.30634916021847863]"
-3.7327908551296103,-1.470155796025311,"[-0.6383518913211033, 0.30103520205244233]"
-2.4101489560571068,-1.46596346176479,"[-0.7602212184110264, 0.4370545905225234]"
-2.2408459421670632,-1.335435331992251,"[-0.7698674208135009, 0.409489653017341]"
-2.2892802265877785,-1.4634997342060496,"[-0.7801070201624385, 0.4543394267518094]"
-2.975106128652798,-0.9761646787396486,"[-0.6486177746679468, 0.20978703818548644]"
-1.8954375320578873,-1.3592429371072112,"[-0.8470044644397771, 0.4745849091229743]"
